event_id,sensor_id,sensor_type,warehouse_id,value,unit,is_alert,timestamp,year,month,day,hour
EVT-0000001,SENS-0063,Pressure,WH-004,1013.09,hPa,False,2024-07-18 14:16:59,2024,7,18,14
EVT-0000002,SENS-0066,Pressure,WH-002,1082.33,hPa,True,2024-07-23 22:15:29,2024,7,23,22
EVT-0000003,SENS-0032,Pressure,WH-005,938.89,hPa,True,2024-03-18 16:04:34,2024,3,18,16
EVT-0000004,SENS-0178,Pressure,WH-005,985.11,hPa,False,2024-11-29 02:58:12,2024,11,29,2
EVT-0000005,SENS-0091,Pressure,WH-002,959.76,hPa,False,2024-09-27 13:48:08,2024,9,27,13
EVT-0000006,SENS-0187,Humidity,WH-005,85.9,%,True,2024-07-17 02:44:30,2024,7,17,2
EVT-0000007,SENS-0137,Temperature,WH-001,17.36,Celsius,False,2024-09-04 12:51:54,2024,9,4,12
EVT-0000008,SENS-0035,CO2,WH-004,782.2,ppm,False,2024-05-24 18:03:46,2024,5,24,18
EVT-0000009,SENS-0070,Pressure,WH-002,1004.93,hPa,False,2024-06-17 06:50:27,2024,6,17,6
EVT-0000010,SENS-0115,CO2,WH-005,477.5,ppm,False,2024-10-06 15:32:39,2024,10,6,15
EVT-0000011,SENS-0017,Temperature,WH-002,17.36,Celsius,False,2024-03-28 02:38:52,2024,3,28,2
EVT-0000012,SENS-0170,Vibration,WH-002,8.584,mm/s,True,2024-02-05 12:20:20,2024,2,5,12
EVT-0000013,SENS-0181,Temperature,WH-002,37.86,Celsius,False,2024-11-21 12:31:59,2024,11,21,12
EVT-0000014,SENS-0069,Temperature,WH-001,3.08,Celsius,False,2024-04-11 22:28:15,2024,4,11,22
EVT-0000015,SENS-0002,Light,WH-001,865.3,Lux,False,2024-08-20 17:15:52,2024,8,20,17
EVT-0000016,SENS-0145,Humidity,WH-002,43.38,%,False,2024-05-13 04:21:24,2024,5,13,4
EVT-0000017,SENS-0101,CO2,WH-001,1607.8,ppm,True,2024-05-29 19:24:33,2024,5,29,19
EVT-0000018,SENS-0129,Humidity,WH-005,38.38,%,False,2024-05-29 16:46:06,2024,5,29,16
EVT-0000019,SENS-0078,Light,WH-001,568.8,Lux,False,2024-12-02 09:14:56,2024,12,2,9
